2026-04-12 22:58:57,661 - INFO - Starting companies info quering
2026-04-12 22:58:57,662 - INFO - Loading input file: data/tickers.csv
2026-04-12 22:58:57,683 - INFO - Total rows in input CSV: 14824
2026-04-12 23:16:54,056 - ERROR - API rate limit exceeded (429) - stopping
2026-04-12 23:16:54,058 - INFO - Scraping completed
2026-04-12 23:16:54,058 - INFO - Total processed: 9933
2026-04-12 23:16:54,058 - INFO - Skipped (already exist): 0
2026-04-12 23:16:54,058 - INFO - Failed: 66, company names saved to data/failed_tickers.csv
2026-04-13 06:54:04,663 - INFO - Starting companies info quering
2026-04-13 06:54:04,678 - INFO - Loading input file: data/tickers.csv
2026-04-13 06:54:04,715 - INFO - Total rows in input CSV: 14824
2026-04-13 06:54:04,847 - INFO - Loaded existing data with 47227 records
2026-04-13 06:54:05,384 - ERROR - Unexpected error for 000623: If using all scalar values, you must pass an index
2026-04-13 06:54:05,632 - ERROR - Unexpected error for 000698: If using all scalar values, you must pass an index
2026-04-13 06:54:05,883 - ERROR - Unexpected error for 000707: If using all scalar values, you must pass an index
2026-04-13 06:54:06,213 - ERROR - Unexpected error for 000831: If using all scalar values, you must pass an index
2026-04-13 06:54:06,665 - ERROR - Unexpected error for 002019: If using all scalar values, you must pass an index
2026-04-13 06:54:06,881 - ERROR - Unexpected error for 002037: If using all scalar values, you must pass an index
2026-04-13 06:54:07,123 - ERROR - Unexpected error for 002082: If using all scalar values, you must pass an index
2026-04-13 06:54:07,461 - ERROR - Unexpected error for 002234: If using all scalar values, you must pass an index
2026-04-13 06:54:07,672 - ERROR - Unexpected error for 002258: If using all scalar values, you must pass an index
2026-04-13 06:54:07,962 - ERROR - Unexpected error for 002333: If using all scalar values, you must pass an index
2026-04-13 06:54:08,205 - ERROR - Unexpected error for 002369: If using all scalar values, you must pass an index
2026-04-13 06:54:08,480 - ERROR - Unexpected error for 002414: If using all scalar values, you must pass an index
2026-04-13 06:54:08,720 - ERROR - Unexpected error for 002457: If using all scalar values, you must pass an index
2026-04-13 06:54:09,110 - ERROR - Unexpected error for 002632: If using all scalar values, you must pass an index
2026-04-13 06:54:09,311 - ERROR - Unexpected error for 002644: If using all scalar values, you must pass an index
2026-04-13 06:54:09,623 - ERROR - Unexpected error for 002925: If using all scalar values, you must pass an index
2026-04-13 06:54:10,630 - ERROR - Unexpected error for 015860: If using all scalar values, you must pass an index
2026-04-13 06:54:11,197 - ERROR - Unexpected error for 0292: If using all scalar values, you must pass an index
2026-04-13 06:54:12,497 - ERROR - Unexpected error for 1: If using all scalar values, you must pass an index
2026-04-13 06:54:12,807 - ERROR - Unexpected error for 104200: If using all scalar values, you must pass an index
2026-04-13 06:54:14,814 - ERROR - Unexpected error for 2: If using all scalar values, you must pass an index
2026-04-13 06:54:15,297 - ERROR - Unexpected error for 2142: If using all scalar values, you must pass an index
2026-04-13 06:54:15,583 - ERROR - Unexpected error for 2180: If using all scalar values, you must pass an index
2026-04-13 06:54:15,836 - ERROR - Unexpected error for 2185: If using all scalar values, you must pass an index
2026-04-13 06:54:16,254 - ERROR - Unexpected error for 2310: If using all scalar values, you must pass an index
2026-04-13 06:54:16,963 - ERROR - Unexpected error for 2561: If using all scalar values, you must pass an index
2026-04-13 06:54:17,547 - ERROR - Unexpected error for 2788: If using all scalar values, you must pass an index
2026-04-13 06:54:18,029 - ERROR - Unexpected error for 3: If using all scalar values, you must pass an index
2026-04-13 06:54:18,383 - ERROR - Unexpected error for 300177: If using all scalar values, you must pass an index
2026-04-13 06:54:18,654 - ERROR - Unexpected error for 300278: If using all scalar values, you must pass an index
2026-04-13 06:54:18,957 - ERROR - Unexpected error for 300455: If using all scalar values, you must pass an index
2026-04-13 06:54:19,323 - ERROR - Unexpected error for 300979: If using all scalar values, you must pass an index
2026-04-13 06:54:20,346 - ERROR - Unexpected error for 353810: If using all scalar values, you must pass an index
2026-04-13 06:54:21,196 - ERROR - Unexpected error for 4: If using all scalar values, you must pass an index
2026-04-13 06:54:21,648 - ERROR - Unexpected error for 4190: If using all scalar values, you must pass an index
2026-04-13 06:54:22,169 - ERROR - Unexpected error for 446A: If using all scalar values, you must pass an index
2026-04-13 06:54:22,534 - ERROR - Unexpected error for 4564: If using all scalar values, you must pass an index
2026-04-13 06:54:22,738 - ERROR - Unexpected error for 456A: If using all scalar values, you must pass an index
2026-04-13 06:54:24,117 - ERROR - Unexpected error for 507205: If using all scalar values, you must pass an index
2026-04-13 06:54:24,503 - ERROR - Unexpected error for 5143: If using all scalar values, you must pass an index
2026-04-13 06:54:24,813 - ERROR - Unexpected error for 5194: If using all scalar values, you must pass an index
2026-04-13 06:54:26,188 - ERROR - Unexpected error for 536507: If using all scalar values, you must pass an index
2026-04-13 06:54:26,378 - ERROR - Unexpected error for 5387: If using all scalar values, you must pass an index
2026-04-13 06:54:26,929 - ERROR - Unexpected error for 542773: If using all scalar values, you must pass an index
2026-04-13 06:54:27,140 - ERROR - Unexpected error for 543210: If using all scalar values, you must pass an index
2026-04-13 06:54:27,679 - ERROR - Unexpected error for 544042: If using all scalar values, you must pass an index
2026-04-13 06:54:28,020 - ERROR - Unexpected error for 544595: If using all scalar values, you must pass an index
2026-04-13 06:54:28,204 - ERROR - Unexpected error for 544612: If using all scalar values, you must pass an index
2026-04-13 06:54:28,404 - ERROR - Unexpected error for 544685: If using all scalar values, you must pass an index
2026-04-13 06:54:28,736 - ERROR - Unexpected error for 564: If using all scalar values, you must pass an index
2026-04-13 06:54:29,208 - ERROR - Unexpected error for 6: If using all scalar values, you must pass an index
2026-04-13 06:54:29,451 - ERROR - Unexpected error for 600037: If using all scalar values, you must pass an index
2026-04-13 06:54:29,646 - ERROR - Unexpected error for 600058: If using all scalar values, you must pass an index
2026-04-13 06:54:29,885 - ERROR - Unexpected error for 600116: If using all scalar values, you must pass an index
2026-04-13 06:54:30,071 - ERROR - Unexpected error for 600117: If using all scalar values, you must pass an index
2026-04-13 06:54:30,337 - ERROR - Unexpected error for 600199: If using all scalar values, you must pass an index
2026-04-13 06:54:30,670 - ERROR - Unexpected error for 600388: If using all scalar values, you must pass an index
2026-04-13 06:54:30,967 - ERROR - Unexpected error for 600528: If using all scalar values, you must pass an index
2026-04-13 06:54:31,186 - ERROR - Unexpected error for 600577: If using all scalar values, you must pass an index
2026-04-13 06:54:31,356 - ERROR - Unexpected error for 600581: If using all scalar values, you must pass an index
2026-04-13 06:54:31,686 - ERROR - Unexpected error for 600713: If using all scalar values, you must pass an index
2026-04-13 06:54:32,067 - ERROR - Unexpected error for 600987: If using all scalar values, you must pass an index
2026-04-13 06:54:32,762 - ERROR - Unexpected error for 6076: If using all scalar values, you must pass an index
2026-04-13 06:54:32,956 - ERROR - Unexpected error for 6079: If using all scalar values, you must pass an index
2026-04-13 06:54:33,409 - ERROR - Unexpected error for 6264: If using all scalar values, you must pass an index
2026-04-13 06:54:34,145 - ERROR - Unexpected error for 6608: If using all scalar values, you must pass an index
2026-04-13 06:54:34,812 - ERROR - Unexpected error for 6616: If using all scalar values, you must pass an index
2026-04-13 06:55:13,314 - ERROR - Unexpected error for 688099: If using all scalar values, you must pass an index
2026-04-13 06:55:44,161 - ERROR - Unexpected error for 6998: If using all scalar values, you must pass an index
2026-04-13 06:57:19,633 - ERROR - Unexpected error for 7UP: If using all scalar values, you must pass an index
2026-04-13 06:57:19,800 - ERROR - Unexpected error for 8: If using all scalar values, you must pass an index
2026-04-13 06:59:13,073 - ERROR - Unexpected error for 8C8U: If using all scalar values, you must pass an index
2026-04-13 07:00:57,347 - ERROR - Unexpected error for A: If using all scalar values, you must pass an index
2026-04-13 07:00:57,550 - ERROR - Unexpected error for A032040: If using all scalar values, you must pass an index
2026-04-13 07:01:19,946 - ERROR - Unexpected error for ABUK: If using all scalar values, you must pass an index
2026-04-13 07:01:20,463 - ERROR - Unexpected error for ABVX: If using all scalar values, you must pass an index
2026-04-13 07:01:21,650 - ERROR - Unexpected error for ACAMD: If using all scalar values, you must pass an index
2026-04-13 07:01:26,608 - ERROR - Unexpected error for ACGC: If using all scalar values, you must pass an index
2026-04-13 07:02:11,420 - ERROR - Unexpected error for AGP: If using all scalar values, you must pass an index
2026-04-13 07:02:30,185 - ERROR - Unexpected error for AKHI: If using all scalar values, you must pass an index
2026-04-13 07:02:38,769 - ERROR - Unexpected error for ALCN: If using all scalar values, you must pass an index
2026-04-13 07:03:01,465 - ERROR - Unexpected error for ALQURAIN: If using all scalar values, you must pass an index
2026-04-13 07:03:09,181 - ERROR - Unexpected error for ALWN: If using all scalar values, you must pass an index
2026-04-13 07:03:20,752 - ERROR - Unexpected error for AMOC: If using all scalar values, you must pass an index
2026-04-13 07:03:23,212 - ERROR - Unexpected error for AMRZ: If using all scalar values, you must pass an index
