A.P. Moller-Maersk A/S
AFMA SA
AL Sydbank A/S
ALK-Abello A/S
ASEC Co. for Mining
ASTARTA Holding Plc
Aarti Surfactants Limited
Abou Kir Fertilizers
Abu Dhabi Islamic Bank-Egypt
AcadeMedia AB
Airports Corp. of Vietnam
Akdital SA
Al Baraka Bank Egypt
Al Khaleej Takaful Group
Alexandria Containers & Goods
Alexandria Mineral Oils Co.
Alexandria Pharmaceuticals
Alexandria Spinning & Weaving Co.
Alijarah Holding
Alm. Brand A/S
Alpha and Omega Semiconductor Limited
Amalgamated Appliance Holdings Ltd.
Ambu A/S
Amer Group Holding
Anheuser-Busch InBev SA/NV
Anheuser-Busch North American Holding Corp.
Anhui Golden Seed Winery Co., Ltd.
Arab Co. for Asset Management & Development
Arab Cotton Ginning Co.
Arabian Cement Co. (Egypt)
Arabian Food Industries Co.
Architectural Surfaces, Inc.
Ardent Health Partners, Inc.
Areva SA
Arrowhead Properties Ltd. /Old/
Ascendis Pharma A/S
Asian Growth Properties Ltd.
Aspire Capital Holding For Financial Investments
AtlantaSanad
Atlantic Capital Bancshares, Inc.
Atlantic Petroleum P/F
Attijariwafa Bank
Auriga Industries A/S
Auto Hall SA
Avid Bioservices, Inc.
B/E Aerospace, Inc.
BBX Capital Corp. /Old/
Bairong Inc.
Bajel Projects Ltd.
Banca Popolare dell Etruria e del Lazio SCARL
Banca Popolare di Milano SCRL
Banco Santander Totta SA
Bang & Olufsen A/S
Bank of Africa SA
Bank of Scotland Plc
Banque Internationale Arabe de Tunisie SA
Barclays Bank Plc
Barwa Real Estate Co.
Basellandschaftliche Kantonalbank
Basler Kantonalbank
Bavarian Nordic A/S
Beijing Gehua CATV Network Co., Ltd.
Better World Green Public Co. Ltd.
Betterware de Mexico SAPI de CV
Billionbrains Garage Ventures Ltd.
Binh Duong Water Environment Corp. JSC
Binh Son Refining & Petrochemical Co. Ltd.
Black Pearl Group Limited
Bradford & Bingley Plc
Brederode SA
Brodrene A&O Johansen A/S
Brodrene Hartmann A/S
Brussels Airport Co. SA
Bushiroad, Inc.
C&S Asset Management Co., Ltd.
CCL Industries Inc.
CI Capital Holding for Financial Investments
CMC Corp.
COSUMAR SA
CRCAM Atlantique Vendee
CRCAM Normandie-Seine
CRCAM de Touraine Poitou
Cadeler A/S
Cairo For Investment & Real Estate Developments CIRA Education
Cairo Poultry Co.
Caisse Regionale De Credit Agricole Mutuel Brie Picardie
Caixa Geral de Depositos SA
Canal Shipping Agencies Co.
Carlo Rino Group Bhd.
Carlsberg A/S
Casa Grande SAA
Centuri Holdings, Inc.
ChemoMetec A/S
Chennai Super Kings Cricket Ltd.
China Merchants Commercial Real Estate Investment Trust
China Railway Hi-tech Industry Corp. Ltd.
China Rare Earth Resources & Technology Co., Ltd.
Chongqing Three Gorges Water Conservancy & Elect Pwr Co. Ltd.
Chr. Hansen Holding A/S
Cian Plc
City of Rome (Italy)
Coloplast A/S
Colorado SA
Compagnie Financiere Tradition SA
Compagnie de Transports au Maroc
Conversant LLC /Old/
Copa Holdings, S.A.
Costamare Inc.
Craft Oil Ltd.
Credit Agricole Egypt
Credit Suisse AG
Cullen/Frost Bankers, Inc.
D/S Norden A/S
DFDS A/S
DH Corporation/Societe DH
DSG International Thailand Public Co. Ltd.
DSV A/S
Daetwyler Holding AG
Dalmia Bharat Ltd. /Old/
Danske Bank A/S
Danske Bank Oyj
Daoming Optics & Chemical Co., Ltd.
Dari Couspate SA
Dawson Geophysical Co. /Old/
Delhaize Le Lion/De Leeuw NV
Delta Holding SA
Delta Sugar
Demant A/S
Diamond Bank Plc
Dice Sports & Casual Wear Manufacturers SAE
Disway
Dlala Brokerage & Investment Holding Co.
Douja Promotion Groupe Addoha
EASY BIO, Inc.
ENERES Co., Ltd.
Echo Global Logistics, Inc.
Egypt Aluminium Co.
Egyptian Chemical Industries
Egyptian Financial & Industrial Co.
Egyptian Gulf Bank Mutual Fund
Egyptian International Pharmaceutical Industries Co.
Egyptian Iron & Steel
Egyptian for Tourism Resorts
Einhell Germany AG
El Ezz Aldekhela Steel-Alexandria
El Ezz Ceramics & Porcelain Co. (Gemma)
El Kahera Housing
El Saeed Contracting & Real Estate Investment Co. SCCD
Electro Cable Egypt Co.
Elia Group SA/NV
Elsewedy Electric Co.
Emaar Misr for Development SAE
Encorp Berhad
EnerCare, Inc. /Old/
Enlabs AB
Ennakl Automobiles SA
Exosens SAS
Ezz Steel
FCMB Group Plc
FLSmidth & Co. A/S
Falabella Peru SAA
Farm Price Holdings Bhd.
Fidelity Bank Plc
Flour Mills of Nigeria Plc
Flugger Group A/S
Fortress Transportation & Infrastructure Investors LLC
Fujian Longking Co., Ltd.
Future Lifestyle Fashions Ltd.
GB Corp.
GN Store Nord A/S
GP Strategies Corporation
Gadwa for Industrial Development
Gateway Distriparks Ltd. /Old/
Genmab A/S
Genor Biopharma Holdings Limited
Greentown Management Holdings Co., Ltd.
Greif, Inc.
Grid Dynamics Holdings, Inc.
GronlandsBANKEN A/S
Guala Closures SpA
Guangzhou Hi-Target Navigation Tech Co., Ltd.
Gubra A/S
H. Lundbeck A/S
HAL Trust
HBM Holdings Ltd.
HRL Holdings Ltd.
HSBC Bank Plc
Hannover Finance (Luxembourg) SA
HealthCo Healthcare & Wellness REIT
Heliopolis Housing
Heska Corporation
Hightech Payment Systems SA
Housing & Development Bank
Huachangda Intelligent Equipment Group Co., Ltd.
Huali Industrial Group Co. Ltd.
Hubei Shuanghuan Science & Technology Stock Co., Ltd.
IC Group A/S
IIFL Capital Services Limited
ILJIN Holdings Co., Ltd.
ING Bank NV
ISRA VISION AG /Old/
ISS A/S
IVG Immobilien GmbH
